Company,Industry,Address,BBB Rating,Company Phone,Website
Randall Manufactured Homes,Home Healthcare,"N/A, California City, CA",N/A,N/A,randallmhomes.com
City of California City,Home Healthcare,"N/A, California City, CA",N/A,N/A,n
Adventist Health Tehachapi Valley,Hospital,"N/A, California City, CA",N/A,N/A,adventisthealth.org
Ace Hardware,Home Healthcare,"N/A, California City, CA",N/A,N/A,acehardware.com
Ali Ashmead MD,Internist,"N/A, California City, CA",N/A,N/A,firstvalleymedicalgroup.com
Adventist Health Medical Offices-California City,Healthcare & Medical Practice,"N/A, California City, CA",N/A,N/A,N/A
Primary Care: Adventist Health Tehachapi Valley,Family Practice Physician,"N/A, California City, CA",N/A,N/A,adventisthealth.org
Tehachapi Family Health Center,Doctor,"N/A, California City, CA",N/A,N/A,adventisthealth.org
Cal City Clinic,Doctor,"N/A, California City, CA",N/A,N/A,cal-city-clinic.jany.io
Michael Pelzer, FNP,Nurse Practitioner,"N/A, California City, CA",N/A,N/A,doctors.adventisthealth.org
higi,Health Consultant,"N/A, California City, CA",N/A,N/A,higi.com
Donald Harwick, P.A-C,Physician Assistant,"N/A, California City, CA",N/A,N/A,doctors.adventisthealth.org
Cal City Urgent Care,Urgent Care Center,"N/A, California City, CA",N/A,N/A,calcityurgentcare.com
West Coast Realty,Home Healthcare,"N/A, California City, CA",N/A,N/A,rongray.ca
Natural Healing Center,Home Healthcare,"N/A, California City, CA",N/A,N/A,naturalhealingcenter.us
Total Care Home Health Care, Inc.,Home Health Care Service,"N/A, California City, CA",N/A,N/A,mitotalcare.com
Home Sweet Home Exchange,Home Healthcare,"N/A, California City, CA",N/A,N/A,homesweethomeexchange.com
Dependable Home Health Inc,Home health care service,"N/A, California City, CA",N/A,N/A,dependablehh.net
Cajon Medical Group,Medical Center,"N/A, California City, CA",N/A,N/A,cajonmedical.com
